Wall time,Step,Value
1689308590.5184448,83380,708.1599731445312
1689308590.7475312,83500,708.1599731445312
1689308593.3828454,84800,715.75
1689308594.7435126,85448,714.9500122070312
1689308595.142174,85640,714.9500122070312
1689308599.4506557,87556,717.22998046875
1689308601.9957416,88672,720.8099975585938
1689308604.6983736,89980,719.2000122070312
1689308604.9444673,90072,710.510009765625
1689308609.981577,92528,720.469970703125
1689308610.511331,92792,719.4299926757812
1689308617.1861243,95900,710.8900146484375
1689308618.3799365,96448,716.8099975585938
1689308619.0612624,96760,716.8699951171875
1689308619.9892733,97204,714.47998046875
1689308623.799564,99044,720.8499755859375
1689308638.2417147,101572,736.3499755859375
1689308647.8842137,102856,728.8200073242188
1689308649.2080715,103040,727.0700073242188
1689308654.437096,103728,726.1799926757812
1689308660.2286785,104468,720.9099731445312
1689308676.2333007,106632,711.4099731445312
1689308677.1866534,106764,714.9500122070312
1689308678.8081982,106992,712.0800170898438
1689308690.218782,108480,694.3599853515625
1689308705.2951515,110476,720.2100219726562
1689308712.3457847,111412,713.4299926757812
1689308728.8079486,113472,720.6699829101562
1689308732.6520598,113932,714.3800048828125
1689308736.0197062,114364,709.4000244140625
1689308741.3468363,115040,695.6699829101562
1689308757.1323843,117072,699.5599975585938
1689308766.6421845,118248,695.530029296875
1689308770.451965,118692,698.8699951171875
1689308797.9851966,122208,699.9199829101562
1689308799.4344559,122392,699.1500244140625
1689308809.1227,123584,682.0499877929688
1689308815.261804,124372,679.6799926757812
1689308828.346941,126040,661.75
1689308870.5327728,131328,704.1400146484375
1689308873.7344143,131724,707.0800170898438
1689308875.7338214,131980,706.97998046875
1689308885.9414299,133332,706.4299926757812
1689308893.4998577,134316,702.8099975585938
1689308897.0541885,134768,708.0499877929688
1689308899.9232817,135128,707.9099731445312
1689308909.341268,136340,729.4099731445312
1689308931.5971644,139120,738.7999877929688
1689308946.7144582,141072,756.219970703125
1689308947.6315408,141176,756.219970703125
1689308950.7512748,141544,753.1599731445312
1689308954.4773407,142028,759.97998046875
1689308963.4047678,143204,765.5
1689308973.9561777,144504,743.3300170898438
1689308977.8198247,144992,740.2100219726562
1689308979.8299131,145240,735.3599853515625
1689308982.075698,145516,731.3800048828125
1689308983.5840673,145700,728.02001953125
1689308985.043945,145884,727.8599853515625
1689308995.5991654,147256,721.5700073242188
1689308999.0741448,147664,729.6900024414062
1689309006.4236512,148600,722.1599731445312
1689309008.1219175,148832,720.4500122070312
1689309013.2690344,149496,715.760009765625
1689309020.9010231,150488,725.489990234375
1689309026.6932628,151164,727.4500122070312
1689309027.7279603,151284,730.1099853515625
1689309039.3846998,152780,715.0800170898438
1689309048.3412993,153904,704.9400024414062
1689309050.0564208,154124,705.0900268554688
1689309050.7359903,154216,703.1099853515625
1689309057.1032875,155040,687.77001953125
1689309065.244542,156112,684.1699829101562
1689309065.9517508,156204,684.1699829101562
1689309085.501712,158712,673.469970703125
1689309089.8166704,159248,679.6099853515625
1689309096.041545,160016,681.1599731445312
1689309118.6189492,162832,689.4299926757812
1689309123.9007277,163456,691.6199951171875
1689309125.2990465,163616,689.2999877929688
1689309128.3732452,164020,697.219970703125
1689309130.5965135,164296,695.469970703125
1689309133.6602466,164676,695.4600219726562
1689309139.4560988,165380,686.52001953125
1689309144.2340415,165956,688.260009765625
1689309148.6579497,166508,684.1699829101562
1689309154.833943,167292,688.3200073242188
1689309163.8358507,168416,685.1900024414062
1689309171.7716691,169372,691.8800048828125
1689309181.302671,170560,695.2899780273438
